title,placeId,categoryName,categories/0,address,city,neighborhood,street,postalCode,location/lat,location/lng,totalScore,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,reviewsDistribution/oneStar,phone,website,permanentlyClosed,temporarilyClosed,wasOpenAtScrapeTime,isAdvertisement,searchString,rank,scrapedAt,imagesCount,url,is_rated,open_status,city_clean
مطعم حضرم للمأكولات اليمنية و الخليجية و المشويات,ChIJCZtUjIVXWBQR3jsjpyZepRA,Restaurant,Restaurant,"عمائر سوليمار ، خلف مسجد الحصري و مكتبة الجامعة امام, Al Hossary Park, ٥ و, First 6th of October, Giza Governorate 12566, Egypt",First 6th of October,First 6th of October,"عمائر سوليمار ، خلف مسجد الحصري و مكتبة الجامعة امام, Al Hossary Park, ٥ و",12566,29.971978,30.9404571,4.8,10,8,2,0,0,0,+20 11 07639518,Not provided,False,False,True,False,مطعم,11,2026-09-23T10:03:01.339Z,24,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%AD%D8%B6%D8%B1%D9%85%20%D9%84%D9%84%D9%85%D8%A3%D9%83%D9%88%D9%84%D8%A7%D8%AA%20%D8%A7%D9%84%D9%8A%D9%85%D9%86%D9%8A%D8%A9%20%D9%88%20%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9%20%D9%88%20%D8%A7%D9%84%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA&query_place_id=ChIJCZtUjIVXWBQR3jsjpyZepRA,True,Open,6th of October City
Decastro Cafe Restaurant,ChIJGTIdER5XWBQRLth06gH_hoM,Restaurant,Restaurant,"el-Hai L sabe3 EL—Ordonia, Giza Governorate, Egypt",First 6th of October,First 6th of October,el-Hai L sabe3 EL—Ordonia,,29.9800939,30.9416743,4.6,116,87,18,6,4,1,+20 11 02236639,Not provided,False,False,True,False,مطعم,12,2026-09-23T10:03:01.339Z,11,https://www.google.com/maps/search/?api=1&query=Decastro%20Cafe%20Restaurant&query_place_id=ChIJGTIdER5XWBQRLth06gH_hoM,True,Open,6th of October City
مطعم وكافيه خيال,ChIJi-SvPABZWBQRVr88xT4449g,Restaurant,Restaurant,"2XW9+MF3 Mazar Park, Gamal Abd El-Nasir, First 6th of October, Giza Governorate 3241201, Egypt",First 6th of October,Not provided,"2XW9+MF3 Mazar Park, Gamal Abd El-Nasir",3241201,29.990016,30.9416499,4.6,76,62,6,2,0,6,+20 10 00105920,https://www.khayalcafe.com/,False,False,,False,مطعم,13,2026-09-23T10:03:01.339Z,55,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%88%D9%83%D8%A7%D9%81%D9%8A%D9%87%20%D8%AE%D9%8A%D8%A7%D9%84&query_place_id=ChIJi-SvPABZWBQRVr88xT4449g,True,Unknown,6th of October City
مطعم فات فوود,ChIJM3GcMh5VWBQR8y9g2Ah15-A,Hamburger restaurant,Hamburger restaurant,"بجوار المفوضة - سنت الدالى, First 6th of October, Giza Governorate 12563, Egypt",First 6th of October,Not provided,بجوار المفوضة - سنت الدالى,12563,29.9827827,30.9378822,5.0,43,43,0,0,0,0,+20 11 20134348,Not provided,False,False,False,False,مطعم,14,2026-09-23T10:03:01.339Z,53,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%81%D8%A7%D8%AA%20%D9%81%D9%88%D9%88%D8%AF&query_place_id=ChIJM3GcMh5VWBQR8y9g2Ah15-A,True,Closed,6th of October City
مطعم مكانك كافيه و مطعم Makanak cafe and restaurant,ChIJKSBpXgBXWBQRbAO1KsVF-cs,Restaurant,Restaurant,"XWVW+6WW, First 6th of October, Giza Governorate 3231542, Egypt",First 6th of October,Not provided,XWVW+6WW,,29.9931168,30.9473172,4.9,18,17,0,1,0,0,Not provided,Not provided,False,False,,False,مطعم,16,2026-09-23T10:03:01.339Z,3,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%85%D9%83%D8%A7%D9%86%D9%83%20%D9%83%D8%A7%D9%81%D9%8A%D9%87%20%D9%88%20%D9%85%D8%B7%D8%B9%D9%85%20Makanak%20cafe%20and%20restaurant&query_place_id=ChIJKSBpXgBXWBQRbAO1KsVF-cs,True,Unknown,6th of October City
فيش كورنر,ChIJaasXNdBXWBQRx9QTJlWJ6XY,Seafood restaurant,Seafood restaurant,"First 6th of October, Giza Governorate 3231216, Egypt",First 6th of October,Not provided,Not provided,,29.9870031,30.9342299,4.1,48,29,9,2,2,6,+20 10 09231818,Not provided,False,False,True,False,مطعم,17,2026-09-23T10:03:01.339Z,68,https://www.google.com/maps/search/?api=1&query=%D9%81%D9%8A%D8%B4%20%D9%83%D9%88%D8%B1%D9%86%D8%B1&query_place_id=ChIJaasXNdBXWBQRx9QTJlWJ6XY,True,Open,6th of October City
مطعم القاضي,ChIJx3sxMgBXWBQRiiaFZrgK9L4,Restaurant,Restaurant,"XWVM+G76 موال اطلاله، التوسعات الشماليه, First 6th of October, Giza Governorate 3231241, Egypt",First 6th of October,Not provided,XWVM+G76 موال اطلاله، التوسعات الشماليه,,29.993789,30.9331459,5.0,1,1,0,0,0,0,Not provided,Not provided,False,False,,False,مطعم,18,2026-09-23T10:03:01.339Z,0,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D9%82%D8%A7%D8%B6%D9%8A&query_place_id=ChIJx3sxMgBXWBQRiiaFZrgK9L4,True,Unknown,6th of October City
Pastarito restaurant مطعم باستاريتو,ChIJfZc7D39XWBQRBQam65NPwDU,Restaurant,Restaurant,"First 6th of October, Giza Governorate 3232022, Egypt",First 6th of October,First 6th of October,Not provided,,29.9708689,30.9392283,4.8,140,129,6,2,0,3,+20 15 52920595,https://vatrin.app/pastarito/#products-106,False,False,False,False,مطعم,19,2026-09-23T10:03:01.339Z,28,https://www.google.com/maps/search/?api=1&query=Pastarito%20restaurant%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%D8%B1%D9%8A%D8%AA%D9%88&query_place_id=ChIJfZc7D39XWBQRBQam65NPwDU,True,Closed,6th of October City
مطعم حضر موت و البخاري,ChIJOUFyYHtXWBQRW2bdOgFxC18,Family restaurant,Family restaurant,"Street 6, First 6th of October, Giza Governorate 3231065, Egypt",First 6th of October,Not provided,Street 6,,29.9816043,30.9302607,4.2,491,274,101,72,14,30,+20 12 22241998,Not provided,False,False,True,False,مطعم,20,2026-09-23T10:03:01.340Z,98,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%AD%D8%B6%D8%B1%20%D9%85%D9%88%D8%AA%20%D9%88%20%D8%A7%D9%84%D8%A8%D8%AE%D8%A7%D8%B1%D9%8A&query_place_id=ChIJOUFyYHtXWBQRW2bdOgFxC18,True,Open,6th of October City
The Club Cafe,ChIJD79eJABXWBQRA2VRNrTAO_c,Coffee shop,Coffee shop,"2W45+H43, Boulevard Rd, First 6th of October, Giza Governorate 3223440, Egypt",First 6th of October,Not provided,"2W45+H43, Boulevard Rd",3223440,30.0061727,30.9076735,5.0,16,16,0,0,0,0,+20 10 40031469,https://www.instagram.com/the_club_cafee?igsh=dmcyejN2YTB1dTBu,False,False,True,False,food ,1,2026-09-23T10:03:01.428Z,8,https://www.google.com/maps/search/?api=1&query=The%20Club%20Cafe&query_place_id=ChIJD79eJABXWBQRA2VRNrTAO_c,True,Open,6th of October City
Mamdouh’s Crib,ChIJcR3NYABXWBQRhzJoJLm5dI4,Coffee shop,Coffee shop,"2W35+GCQ, First 6th of October, Giza Governorate 3223452, Egypt",First 6th of October,Not provided,2W35+GCQ,3223452,30.0034092,30.9090049,5.0,1,1,0,0,0,0,Not provided,Not provided,False,False,,False,food ,2,2026-09-23T10:03:01.428Z,0,https://www.google.com/maps/search/?api=1&query=Mamdouh%E2%80%99s%20Crib&query_place_id=ChIJcR3NYABXWBQRhzJoJLm5dI4,True,Unknown,6th of October City
Meal Factory,ChIJ0wiWSgBXWBQRgY7wwJalTIs,Fast food restaurant,Fast food restaurant,"First 6th of October, Giza Governorate 3231571, Egypt",First 6th of October,Not provided,Not provided,,29.994346,30.949815,4.9,230,220,8,1,1,0,+20 10 25555726,http://www.mealfactoryeg.com/,False,False,True,False,food ,4,2026-09-23T10:03:01.429Z,277,https://www.google.com/maps/search/?api=1&query=Meal%20Factory&query_place_id=ChIJ0wiWSgBXWBQRgY7wwJalTIs,True,Open,6th of October City
Chickin Worx - تشيكن وركس,ChIJm4mP71hXWBQR4fpGYXh-Cik,Fast food restaurant,Fast food restaurant,"Park Way Mall, July 26 Axis, First 6th of October, Giza Governorate 12573, Egypt",First 6th of October,First 6th of October,"Park Way Mall, July 26 Axis",12573,29.9927604,30.9585087,4.9,13421,12953,335,61,11,61,+20 10 10351999,http://www.chickinworx.com/,False,False,True,False,food ,5,2026-09-23T10:03:01.429Z,1028,https://www.google.com/maps/search/?api=1&query=Chickin%20Worx%20-%20%D8%AA%D8%B4%D9%8A%D9%83%D9%86%20%D9%88%D8%B1%D9%83%D8%B3&query_place_id=ChIJm4mP71hXWBQR4fpGYXh-Cik,True,Open,6th of October City
Bakes N' More,ChIJt_bYbxdXWBQRe3yX61-6oo4,Bakery,Bakery,"2W45+H6G, Boulevard Rd, First 6th of October, Giza Governorate 3223440, Egypt",First 6th of October,Not provided,"2W45+H6G, Boulevard Rd",,30.0064497,30.9080856,3.9,7,5,0,0,0,2,Not provided,Not provided,False,False,,False,food ,6,2026-09-23T10:03:01.429Z,4,https://www.google.com/maps/search/?api=1&query=Bakes%20N'%20More&query_place_id=ChIJt_bYbxdXWBQRe3yX61-6oo4,True,Unknown,6th of October City
Nood,ChIJnf354npXWBQRip-j_hcKomM,Asian restaurant,Asian restaurant,"High Town Mall, Gamal Abd El Naser St, First 6th of October, Giza Governorate 3231065, Egypt",First 6th of October,Not provided,"High Town Mall, Gamal Abd El Naser St",,29.9816131,30.9294624,4.6,31,27,1,0,0,3,+20 10 39848840,http://noodegypt.com/,False,False,False,False,food ,7,2026-09-23T10:03:01.429Z,42,https://www.google.com/maps/search/?api=1&query=Nood&query_place_id=ChIJnf354npXWBQRip-j_hcKomM,True,Closed,6th of October City
Queen N,ChIJ6y5NPQBXWBQRlI6GdDfnRkA,Restaurant,Restaurant,"XWRW+G2M, Gamal Abd El-Nasir, First 6th of October, Giza Governorate 3231541, Egypt",First 6th of October,Not provided,"XWRW+G2M, Gamal Abd El-Nasir",,29.9913404,30.9450501,4.9,15,14,1,0,0,0,Not provided,Not provided,False,False,,False,food ,8,2026-09-23T10:03:01.429Z,20,https://www.google.com/maps/search/?api=1&query=Queen%20N&query_place_id=ChIJ6y5NPQBXWBQRlI6GdDfnRkA,True,Unknown,6th of October City
Castello,ChIJNxxOPgBXWBQRkAOckZkUtw4,Restaurant,Restaurant,"2W45+G42, First 6th of October, Giza Governorate 3223440, Egypt",First 6th of October,Not provided,2W45+G42,,30.0062737,30.907762,5.0,2,2,0,0,0,0,+20 10 23584046,Not provided,False,True,False,False,food ,9,2026-09-23T10:03:01.429Z,8,https://www.google.com/maps/search/?api=1&query=Castello&query_place_id=ChIJNxxOPgBXWBQRkAOckZkUtw4,True,Closed,6th of October City
كمبش حسني الكبابجي-Kambsh Hossny El Kababgy,ChIJ0bfNuihXWBQRffHi6CJtssU,Restaurant,Restaurant,"ممشي جرين بارك امام سور نادي, First 6th of October, Giza Governorate 12566, Egypt",First 6th of October,First 6th of October,ممشي جرين بارك امام سور نادي,12566,29.9829685,30.9523533,4.6,39,33,1,3,0,2,+20 11 11184478,https://www.facebook.com/profile.php?id=61587171184375,False,False,True,False,food ,10,2026-09-23T10:03:01.429Z,116,https://www.google.com/maps/search/?api=1&query=%D9%83%D9%85%D8%A8%D8%B4%20%D8%AD%D8%B3%D9%86%D9%8A%20%D8%A7%D9%84%D9%83%D8%A8%D8%A7%D8%A8%D8%AC%D9%8A-Kambsh%20Hossny%20El%20Kababgy&query_place_id=ChIJ0bfNuihXWBQRffHi6CJtssU,True,Open,6th of October City
GFC food truck,ChIJmSC8YW9XWBQRRP__uz28-T0,Restaurant,Restaurant,"XWJR+V3M, First 6th of October, Giza Governorate 3231411, Egypt",First 6th of October,First 6th of October,XWJR+V3M,,29.9822044,30.9401758,4.8,5,4,1,0,0,0,+20 15 51222508,https://instagram.com/gfc.sandwiches?igshid=OGQ5ZDc2ODk2ZA==,False,False,True,False,food ,11,2026-09-23T10:03:01.429Z,0,https://www.google.com/maps/search/?api=1&query=GFC%20food%20truck&query_place_id=ChIJmSC8YW9XWBQRRP__uz28-T0,True,Open,6th of October City
Garage Food Park,ChIJgYuBejBXWBQRE2uJD78Orlg,Restaurant,Restaurant,"Adeer Plaza , Waslet Dahshour , Zaid Gate 6, 6 October City, Giza Governorate 12857, Egypt",First 6th of October,First 6th of October,"Adeer Plaza , Waslet Dahshour , Zaid Gate 6, 6 October City",12857,29.9829457,30.9737638,5.0,5,5,0,0,0,0,+20 12 24775331,Not provided,False,False,True,False,food ,14,2026-09-23T10:03:01.429Z,34,https://www.google.com/maps/search/?api=1&query=Garage%20Food%20Park&query_place_id=ChIJgYuBejBXWBQRE2uJD78Orlg,True,Open,6th of October City
Hunter fried chicken and burger,ChIJYzvO9mdXWBQRNsOdUI9SFOM,Fast food restaurant,Fast food restaurant,"السادس من أكتوبر،, First 6th of October, Egypt",First 6th of October,Not provided,السادس من أكتوبر،,,29.9901164,30.9430873,4.1,223,138,37,11,12,25,+20 10 07596677,Not provided,False,False,True,False,food ,15,2026-09-23T10:03:01.430Z,60,https://www.google.com/maps/search/?api=1&query=Hunter%20fried%20chicken%20and%20burger&query_place_id=ChIJYzvO9mdXWBQRNsOdUI9SFOM,True,Open,6th of October City
Food Court at Mall of Arabia,ChIJUdgvV0RXWBQRuIm_SUBOKJU,Food court,Food court,"First 6th of October, Giza Governorate 3236220, Egypt",First 6th of October,Not provided,Not provided,,30.0054851,30.9727097,4.2,7790,4227,1942,1096,260,265,Not provided,Not provided,False,False,True,False,food ,18,2026-09-23T10:03:01.430Z,726,https://www.google.com/maps/search/?api=1&query=Food%20Court%20at%20Mall%20of%20Arabia&query_place_id=ChIJUdgvV0RXWBQRuIm_SUBOKJU,True,Open,6th of October City
Tairy,ChIJjV8gcQBXWBQRX_AgF9KzZdc,Coffee shop,Coffee shop,"XWJJ+J2V, First 6th of October, Giza Governorate 3230723, Egypt",First 6th of October,Not provided,XWJJ+J2V,3230723,29.9816201,30.9299925,4.4,29,24,1,0,0,4,Not provided,Not provided,False,False,True,False,food ,19,2026-09-23T10:03:01.430Z,169,https://www.google.com/maps/search/?api=1&query=Tairy&query_place_id=ChIJjV8gcQBXWBQRX_AgF9KzZdc,True,Open,6th of October City
McDonald's Palm Strip 6th October,ChIJtWmyb0ZXWBQR0a9KviagzTQ,Fast food restaurant,Fast food restaurant,"جانب جامعة مصر للعلوم و التكنولوجيا-6أكتوبر, East of Somied, beside MUST and Technology, 6 of October غرب سوميد-متفرع من المحور المركزي, Egypt",First 6th of October,First 6th of October,"جانب جامعة مصر للعلوم و التكنولوجيا-6أكتوبر, East of Somied, beside MUST and Technology, 6 of October غرب سوميد-متفرع من المحور المركزي",,29.9913679,30.9667178,4.2,1256,760,262,90,35,109,+20 2 21600377,https://www.mcdelivery.eg/,False,False,True,False,food ,20,2026-09-23T10:03:01.430Z,104,https://www.google.com/maps/search/?api=1&query=McDonald's%20Palm%20Strip%206th%20October&query_place_id=ChIJtWmyb0ZXWBQR0a9KviagzTQ,True,Open,6th of October City
Ala Kefak Restaurant,ChIJmZcF2-hVWBQRNbBO94oMmfM,Restaurant,Restaurant,"122 Ibrahim Al Mazni - Al Akhbar, 6th of October City (2), Giza Governorate 12115, Egypt",6th of October City (2),Not provided,122 Ibrahim Al Mazni - Al Akhbar,12115,29.9380337,30.9138309,4.6,5,3,2,0,0,0,+20 11 59553408,Not provided,False,False,True,False,restaurant,1,2026-09-23T10:03:05.405Z,0,https://www.google.com/maps/search/?api=1&query=Ala%20Kefak%20Restaurant&query_place_id=ChIJmZcF2-hVWBQRNbBO94oMmfM,True,Open,6th of October City
Lazezo Cafee Restaurant,ChIJNWmrGtpVWBQRQrcm9IWZIt8,Restaurant,Restaurant,"WWRH+8R3, Abd Al Salam Amin - Al Salam St, First 6th of October, 6th of October City (2), Giza Governorate 3226160, Egypt",6th of October City (2),First 6th of October,"WWRH+8R3, Abd Al Salam Amin - Al Salam St",,29.9407667,30.929536,3.9,47,21,12,8,1,5,+20 11 45257699,Not provided,False,False,True,False,restaurant,2,2026-09-23T10:03:05.405Z,2,https://www.google.com/maps/search/?api=1&query=Lazezo%20Cafee%20Restaurant&query_place_id=ChIJNWmrGtpVWBQRQrcm9IWZIt8,True,Open,6th of October City
Olive & Oil Restaurant,ChIJmZcF2-hVWBQRMHYgHIpM3Nw,Restaurant,Restaurant,"6th of October City (2), Giza Governorate 3225210, Egypt",6th of October City (2),Not provided,Not provided,,29.938126,30.91398,3.8,5,2,2,0,0,1,+20 11 10008608,Not provided,False,False,True,False,restaurant,3,2026-09-23T10:03:05.405Z,5,https://www.google.com/maps/search/?api=1&query=Olive%20%26%20Oil%20Restaurant&query_place_id=ChIJmZcF2-hVWBQRMHYgHIpM3Nw,True,Open,6th of October City
Um Hassan Sudanese Restaurant,ChIJj2hTSMJVWBQRQ0YM4_gi44s,Restaurant,Restaurant,"33 Ibrahim Abd Al Kader Al Mazni - Al Issaaf, 6th of October City (2), Giza Governorate 3225233, Egypt",6th of October City (2),Not provided,33 Ibrahim Abd Al Kader Al Mazni - Al Issaaf,,29.9339529,30.9207249,3.8,42,23,6,4,1,8,Not provided,Not provided,False,False,True,False,restaurant,4,2026-09-23T10:03:05.405Z,6,https://www.google.com/maps/search/?api=1&query=Um%20Hassan%20Sudanese%20Restaurant&query_place_id=ChIJj2hTSMJVWBQRQ0YM4_gi44s,True,Open,6th of October City
Ezzo Restaurant,ChIJmZcF2-hVWBQRSZHgO8LGYwI,Restaurant,Restaurant,"122 Ibrahim Al Mazni - Al Akhbar, 6th of October City (2), Giza Governorate 12115, Egypt",6th of October City (2),Not provided,122 Ibrahim Al Mazni - Al Akhbar,12115,29.9380216,30.9139218,,0,0,0,0,0,0,+20 11 16691117,Not provided,False,False,,False,restaurant,5,2026-09-23T10:03:05.406Z,0,https://www.google.com/maps/search/?api=1&query=Ezzo%20Restaurant&query_place_id=ChIJmZcF2-hVWBQRSZHgO8LGYwI,False,Unknown,6th of October City
El Captain Restaurant,ChIJmZcF2-hVWBQRu_3SmsVbyuM,Restaurant,Restaurant,"122 Ibrahim Al Mazni - Al Akhbar, 6th of October City (2), Giza Governorate 12115, Egypt",6th of October City (2),Not provided,122 Ibrahim Al Mazni - Al Akhbar,12115,29.9380216,30.9139218,,0,0,0,0,0,0,+20 2 38312196,Not provided,False,False,,False,restaurant,6,2026-09-23T10:03:05.406Z,0,https://www.google.com/maps/search/?api=1&query=El%20Captain%20Restaurant&query_place_id=ChIJmZcF2-hVWBQRu_3SmsVbyuM,False,Unknown,6th of October City
X-Large Restaurant - مطعم إكس لارچ,ChIJPUwUuuZXWBQRDNYNqNjy3Lo,Middle Eastern restaurant,Middle Eastern restaurant,"XW58+4WQ, First 6th of October, 6th of October City (2), Giza Governorate 12855, Egypt",6th of October City (2),First 6th of October,XW58+4WQ,12855,29.9578205,30.9174689,4.5,4,3,0,1,0,0,+20 15 54737286,Not provided,False,False,True,False,restaurant,7,2026-09-23T10:03:05.406Z,0,https://www.google.com/maps/search/?api=1&query=X-Large%20Restaurant%20-%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%A5%D9%83%D8%B3%20%D9%84%D8%A7%D8%B1%DA%86&query_place_id=ChIJPUwUuuZXWBQRDNYNqNjy3Lo,True,Open,6th of October City
